,created_at,location,user,text
0,Mon Nov 01 15:31:52 +0000 2021,"Jawa Barat, Indonesia",Prakacitaaa,Sebuah trik marketing wkwk beli sampo dapet voucher  gratis chatime. Besok beli kumkum gratis 1 lot saham Buka aja… https://t.co/YR5Jh8LfqH
0,Mon Nov 01 15:13:16 +0000 2021,"Central Java, Indonesia",the_luckyloser,@undipmenfess Saham freeport 3%
0,Mon Nov 01 15:10:00 +0000 2021,"Jakarta, Indonesia",inewsdotid,"Elon Musk Tantang Pembuktian PBB, Siap Jual Saham Tesla untuk Atasi Kelaparan Dunia
https://t.co/6jUR6HTGQk"
0,Mon Nov 01 15:09:25 +0000 2021,"Jawa Tengah, Indonesia",RudiYahya12,@ismailfahmi Bang  coba si  MD punya saham  spt Unilever etc.
0,Mon Nov 01 15:09:06 +0000 2021,"Bandung, Jawa Barat",Envy637495,"@cookies_taro69 engga, mending saham sih kl aku wkwkwk"
0,Mon Nov 01 14:53:23 +0000 2021,"Bandung, Indonesia",lisafarhani,"Bosen, pengen beli saham Tesla"
0,Mon Nov 01 14:44:44 +0000 2021,"Bali, Indonesia",iosipratama,"Investasi Saham Oktober 2021 🪙

🇮🇩 Saham Indo:  BUKA,  JRPT
🌐 Saham Luar:  TEAM ,  FVRR,  SE"
0,Mon Nov 01 14:42:00 +0000 2021,Jakarta,newsmerahputih,"Saham perusahaan Material Kanada melambung akibat Facebook mengganti nama.

#merahputihcom #Meta #Facebook… https://t.co/0IX6zTwH2Z"
0,Mon Nov 01 14:26:08 +0000 2021,"Jakarta, Indonesia",Bisniscom,"Saham Emiten Berbasis Komoditas Jadi Tambah Seksi, Ini Alasannya! https://t.co/6hA1xQ9TtC"
0,Mon Nov 01 14:19:09 +0000 2021,Yogyakarta,afifmakrom,@ercsty Pak @erickthohir tolong beli saham PSS
0,Mon Nov 01 14:18:05 +0000 2021,"Bekasi, Jawa Barat",PRBekasiRaya,Elon Musk Tantang Pejabat PBB Atasi Kelaparan Dunia: Saya Akan Jual Saham Tesla Sekarang Juga https://t.co/qO3cCZaZAr
0,Mon Nov 01 14:03:00 +0000 2021,"DKI Jakarta, Indonesia",FiyaniVia,#invetasi #saham #sahamhongkong #EMAs #sahamemas #investasiemas #investasihangseng #hangseng #TradingView #trading… https://t.co/usycELqr01
0,Mon Nov 01 13:59:21 +0000 2021,"DKI Jakarta, Indonesia",FiyaniVia,#investasi #TradingView #trading #tradingideas #tradinggold #gold #GoldenChild #EMAs #emasculeted #hangseng… https://t.co/NFvKq45GIJ
0,Mon Nov 01 13:56:58 +0000 2021,"Tegal, Jawa Tengah",mizz_kun,"@ajaib_investasi Saham gorengan, karna blm mampu beli saham blu chip"
0,Mon Nov 01 13:54:38 +0000 2021,"DKI Jakarta, Indonesia",FiyaniVia,#saham #investasi #sahamhongkong #EMAs  #gold  #nfp #TradingView  #trading #kpf #kontakperkasa #tradinggold… https://t.co/pMUsUs8Jc6
0,Mon Nov 01 13:37:40 +0000 2021,Bandung,svnflawless,saham mekdi langsung turun https://t.co/SCLkcA3qfw
0,Mon Nov 01 13:02:33 +0000 2021,"Jakarta, Indonesia",Bisniscom,"Sentimen Pasar Kondusif, Transaksi Broker Saham Ikut Positif https://t.co/RQlglknUzy"
0,Mon Nov 01 13:01:38 +0000 2021,"Jakarta Selatan, DKI Jakarta",yudhi_kz,@nsalsaaaaa @Saham_fess makin jago
0,Mon Nov 01 12:58:43 +0000 2021,Jakarta,Goodlife_Mag,Cepat Kaya atau Gagal di Bursa Saham https://t.co/IWb9Md1nmc
0,Mon Nov 01 12:54:34 +0000 2021,"Jakarta, Indonesia",Bisniscom,"IHSG Cerah, Mandiri Sekuritas Keruk Cuan dari Transaksi Saham &amp; IPO Jumbo https://t.co/TYaD6GyNxj"
0,Mon Nov 01 12:53:24 +0000 2021,Jakarta,Stockbit,"Kabar lainnya datang dari @tiket yang udah ngasih sinyal bakalan IPO tahun 2022, melambung jauh terbang tinggi bers… https://t.co/aZPSNKtGzP"
0,Mon Nov 01 12:53:24 +0000 2021,Jakarta,Stockbit,"Liat Calvin minum teh tarik🥤
Masih hari Senin, udah banyak kabar menarik✨

Concentricity, perusahaan investasi yang… https://t.co/qyGBYDK6cc"
0,Mon Nov 01 12:50:42 +0000 2021,"Bumiayu, Indonesia",fauzandhikaf,"@Saham_fess FREN kalo kamu ngikutin pas dia rebound di support 82, dia udah patah trend.. Skrg udah reversal sih harusnya. cmiiw."
0,Mon Nov 01 12:47:39 +0000 2021,"Bandar Lampung, Lampung",Diqacangin_,@Saham_fess gausah ditutupin mpmx nya nder
0,Mon Nov 01 12:47:20 +0000 2021,"Bumiayu, Indonesia",fauzandhikaf,"@Saham_fess big player nya PD ngeri ni, tapi besok bisa koreksi dulu kalo gagal break di 780. cmiiw."
0,Mon Nov 01 12:47:16 +0000 2021,"DKI Jakarta, Indonesia",eDzulfikar,@habibaeee Percaya besok saham makanan kita besok terbang ga bar
0,Mon Nov 01 12:25:59 +0000 2021,"Jakarta, Indonesia",darma__p,@keratkeratbir Market cap saham bumn yg go public ada
0,Mon Nov 01 12:20:47 +0000 2021,"Jakarta, Indonesia",IDX_BEI,"Untuk mengetahui perkembangan saham hari ini dari Bursa Efek Indonesia klik https://t.co/Eb0ZKD0XV5    
#IDXDailyTrading #TemanInvestasi"
0,Mon Nov 01 12:19:34 +0000 2021,"Jakarta, Indonesia",Bisniscom,"Saham Favorit Asing Awal November 2021, Ada BMRI, BBRI &amp; KLBF https://t.co/5vSCF8vS1M"
0,Mon Nov 01 12:15:07 +0000 2021,Jakarta,Konfrontasi_co,"Elon Musk Mengaku Siap Jual Saham Tesla untuk Atasi Kelaparan Dunia, Tapi Ada Syaratnya https://t.co/6mjmpqQhCj"
0,Mon Nov 01 12:15:00 +0000 2021,"Jakarta, Indonesia",inewsdotid,"Miliarder AS Kelahiran RI Koleksi Saham Tesla, Dorong Kekayaannya Tembus Rp122 Triliun
https://t.co/jwRKLPnZAg."
0,Mon Nov 01 12:14:47 +0000 2021,"Jakarta Pusat, DKI Jakarta",SINDOnews,"Elon Musk Sesumbar Siap Jual Saham Tesla untuk Atasi Kelaparan Dunia, tapi Ini Syaratnya

 #Sindonews… https://t.co/RhBbXlLBsA"
0,Mon Nov 01 12:13:56 +0000 2021,Java indonesia,RobinBaja,"@MataNajwa @TRANS7 Sampai jual beli club hanya di negara ini, di negara eropa jual beli saham dan nama club dan homebese ngak pindah"
0,Mon Nov 01 12:00:50 +0000 2021,,dananMD,@Saham_fess mpmx
0,Mon Nov 01 11:58:36 +0000 2021,"Yogyakarta, Indonesia",whoocityx,Waaduh dah punya mentor saham ni wkwkwkkwk senangnya
0,Mon Nov 01 11:57:21 +0000 2021,Jakarta,ghuzzan_id,"@geloraco yaelah.. saham kecil atw jabatan cuma komisaris dlm PT itu mah cuma kamuflase ajah, dah biasa dlm Perusah… https://t.co/9tNzfnd2o6"
0,Mon Nov 01 11:56:27 +0000 2021,"Bantul, Indonesia",RindaMan2412,"@jogmfs Ngga si,minimal udah punya saham bbca 1000 lot"
0,Mon Nov 01 11:51:39 +0000 2021,"DKI Jakarta, Indonesia",eDzulfikar,@profesor_saham Iya wkwkw
0,Mon Nov 01 11:45:00 +0000 2021,"Jakarta, Indonesia",inilahdotcom,"Ajak Milenial Berinvestasi, Tiga Pasangan Selebriti Bagi-bagi Saham

#inilahcom #inilahdotcom
https://t.co/I5jspO7sXl"
0,Mon Nov 01 11:44:31 +0000 2021,"Cikampek, Indonesia",AlamsyahFerda,@yogach_ Ole ki sing due saham nek MU 😂
0,Mon Nov 01 11:43:22 +0000 2021,"Jakarta, Indonesia",detikfinance,PT Widodo Makmur Perkasa Tbk (WMP) akan melantai di bursa saham atau penawaran umum perdana dengan melepas sebanyak… https://t.co/zSobPKeQwL
